Index,Title,Company,Date,Location,Job Category
82,Audit Manager,Allied Food and Confectionary Services Limited (Burger King),28-Feb-26,Lagos,Management
83,Tax Manager,Beta Glass Plc,28-Feb-26,Lagos,Management
84,"Sales Executive - Lagos (Trade Fair, Mushin, Oke Arin, Ikorodu)",BOGO Beverages,28-Feb-26,Lagos,Management
85,Accountant (Executive Assistant Accountant I),AACSL Accountants,28-Feb-26,Lagos,Finance
86,Business Development Manager,AAA Finance and Investment Company Limited,28-Feb-26,Lagos,Management
87,Audit and Internal Control Officer,AAA Finance and Investment Company Limited,28-Feb-26,Lagos,Finance
88,Accounts & Finance Manager,AAA Finance and Investment Company Limited,28-Feb-26,Lagos,Management
89,Flight Disp,cher,02-Mar-26,Abuja,Operations
90,Assistant Flight Disp,cher,02-Mar-26,Abuja,Operations
91,Inventory Officer,Amitouch Global Concepts Limited,02-Mar-26,Abuja,Finance
92,Associ,e Lawyer,02-Mar-26,Abuja,Management
93,Deposit Mobiliz,ion Officer (High Net Worth),02-Mar-26,Abuja,Management
94,Facility P,rol Security Officer,02-Mar-26,Abuja,Finance
95,"Senior Technical Advisor, MNCH",FHI 360,02-Mar-26,Abuja,Operations
96,Health Insurance Call Centre Agents,Masslife Healthcare Limited,02-Mar-26,Abuja,Technology
97,Knowledge Management Officer,FHI 360,02-Mar-26,Abuja,Medical
98,"Deputy Head of Regional Procurement SEO, Africa Procurement Hub",British High Commission,02-Mar-26,Abuja,Management
99,Medical Claims Processing Executive,Masslife Healthcare Limited,02-Mar-26,Abuja,Medical
100,Head of Client Service (Health Insurance / HMO),Masslife Healthcare Limited,02-Mar-26,Abuja,Medical
101,N,ional Communic,02-Mar-26,Abuja,Customer Service
102,Senior Communic,ion Associ,02-Mar-26,Abuja,Operations
103,Media Sales Expert,Vastovers Group,02-Mar-26,Abuja,Finance
104,Investment & Str,egic Partnerships Executive,02-Mar-26,Abuja,Finance
105,Speech Therapist,Kels Global Ventures,02-Mar-26,Abuja,Medical
106,Physiotherapist,Kels Global Ventures,02-Mar-26,Abuja,Medical
107,Sales Represent,ive,02-Mar-26,Abuja,Finance
108,Store Manager – Luxury Retail,Aureole Consulting Limited,02-Mar-26,Abuja,Management
109,"Officer, Shell Lubes - Abuja",Ardova Plc,02-Mar-26,Abuja,Operations
110,Program Oper,ions Lead (Senior Management Team Member),02-Mar-26,Abuja,Operations
111,Legal / Company Secretary,Awesome Microfinance Bank,28-Feb-26,Abuja,Operations
112,Program Officer,MacArthur Found,28-Feb-26,Abuja,Operations
113,Sales Canvasser,Vastovers Group,28-Feb-26,Abuja,Finance
114,NYSC Interns,Norrenberger Financial Group,28-Feb-26,Abuja,Operations
115,Senior Associ,e (Abuja),28-Feb-26,Abuja,Management
116,Purchasing Officer,Hilton Worldwide,28-Feb-26,Abuja,Finance
117,Waste to Value (Circular Economy) Manager,TechnoServe,28-Feb-26,Abuja,Management
118,Health Officer (Supply and Logistics),UNICEF,28-Feb-26,Abuja,Medical
119,Branch Manager,Proforce Limited,28-Feb-26,Abuja,Management
120,Caregiver,TippyToes KidCare,28-Feb-26,Abuja,Customer Service
121,Telemarketer Team Lead,Firstfruit Homes Limited,28-Feb-26,Abuja,Management
122,QA Engineer,Krystal Digital Solutions Limited,27-Feb-26,Abuja,Technology
123,Chief Financial Officer,ADKAN Services,27-Feb-26,Abuja,Finance
124,Accountant,ADKAN Services,27-Feb-26,Abuja,Finance
125,Senior Sales Executive - Abuja,Simba Group,27-Feb-26,Abuja,Finance
126,Senior Sales Executive,Simba Group,27-Feb-26,Abuja,Management
127,Consultant Orthopedic Surgeon,Cedarcrest Hospitals,27-Feb-26,Abuja,Medical
128,Senior Business Development Executive,Vagan Oil & Gas Limited,27-Feb-26,Abuja,Finance
129,Medical Doctor,Medicaid Cancer Found,27-Feb-26,Abuja,Medical
130,Branch Manager - Abuja,Proforce Limited,27-Feb-26,Abuja,Management
131,Account/HMO Officer,Viewpoint Hospital,27-Feb-26,Abuja,Finance
132,FTTx Direct Sales Executive (DSE),Fort Knox Group,27-Feb-26,Abuja,Finance
133,Senior Lecturer (Nursing Science),Prime University Abuja,27-Feb-26,Abuja,Education
134,Internal Auditor,Prime University Abuja,27-Feb-26,Abuja,Finance
135,Technical Product Manager,Krystal Digital Solutions Limited,27-Feb-26,Abuja,Management
136,Business Development Officer,Krystal Digital Solutions Limited,27-Feb-26,Abuja,Finance
137,Digital Marketing Specialist,Krystal Digital Solutions Limited,27-Feb-26,Abuja,Technology
138,"Officer, Management Support and Oper",ions,27-Feb-26,Abuja,Management
139,"Officer, People & Culture",Evidence Action,27-Feb-26,Abuja,Customer Service
140,Social Media Manger & Content Cre,or,27-Feb-26,Abuja,Technology
141,Administr,ive Assistant (Protocol),27-Feb-26,Abuja,Operations
142,Country Oper,ions Technical Project Advisor I,27-Feb-26,Abuja,Technology
143,Admin & Logistics Specialist,TechnoServe,27-Feb-26,Abuja,Operations
144,Sales Director - Business Banking (Abuja),FairMoney,27-Feb-26,Abuja,Management
145,Senior Mercedes - Benz Technician,ABM Tek Limited,27-Feb-26,Abuja,Technology
146,Accountant,Resurgir Consulting,27-Feb-26,Abuja,Finance
147,Supermarket Manager,Resurgir Consulting,27-Feb-26,Abuja,Management
148,Supermarket Supervisor,Resurgir Consulting,27-Feb-26,Abuja,Management
149,Deputy Registrar,Prime University Abuja,27-Feb-26,Abuja,Education
150,Legal Intern (NYSC),Naji Realties,27-Feb-26,Abuja,Operations
151,Senior HR Officer - Resourcing,Malaria Consortium,27-Feb-26,Abuja,Customer Service
152,Educ,"ion Officer, NOA, Abuja",27-Feb-26,Abuja,Education
153,Customer Service Officer,Fort Knox Group,27-Feb-26,Abuja,Customer Service
154,Sales Canvasser/ Medical Sales Rep,ComfortCare Pharmaceutical ltd,27-Feb-26,Abuja,Medical
155,"Billing Officer, Geochemical Lab – Abuja",boQS Ltd,27-Feb-26,Abuja,Finance
156,Maintenance Technician,a Geochemical Labor,27-Feb-26,Abuja,Operations
157,Cook,Primly Premium Solutions Ltd,26-Feb-26,Abuja,Operations
158,Waitress,Class Suites Hotels & Apartments,26-Feb-26,Abuja,Customer Service
159,Prefabric,ed House Installer,26-Feb-26,Abuja,Operations
160,Production & Sales Associ,e (E-commerce & Retail),26-Feb-26,Abuja,Finance
