,Title,Date,Location

98,Head of Sales(e-commerce) at Capsgain Solutions,28 February-2026,Lagos
99,Procurement Buyer- Maintenance Spares & Fleet Services at Coca-Cola,28 February-2026,Lagos
100,"Developer, Software at Stanbic IBTC",28 February-2026,Lagos
101,Audit Manager at Allied Food and Confectionary Services Limited (Burger King),28 February-2026,Lagos
102,Tax Manager at Beta Glass Plc,28 February-2026,Lagos
103,"Sales Executive - Lagos (Trade Fair, Mushin, Oke Arin, Ikorodu) at BOGO Beverages",28 February-2026,Lagos
104,Accountant (Executive Assistant Accountant I) at AACSL Accountants,28 February-2026,Lagos
105,Business Development Manager at AAA Finance and Investment Company Limited,28 February-2026,Lagos
106,Audit and Internal Control Officer at AAA Finance and Investment Company Limited,28 February-2026,Lagos
107,Accounts & Finance Manager at AAA Finance and Investment Company Limited,28 February-2026,Lagos
,Title,Date,Location
0,Flight Dispatcher at Air Peace,02 March-2026,Abuja
1,Assistant Flight Dispatcher at Air Peace,02 March-2026,Abuja
2,Inventory Officer at Amitouch Global Concepts Limited,02 March-2026,Abuja
3,Associate Lawyer at Fort Legis Attorneys,02 March-2026,Abuja
4,Deposit Mobilization Officer (High Net Worth) at Awesome Microfinance Bank,02 March-2026,Abuja
5,Facility Patrol Security Officer at Domeo Resources International (DRI),02 March-2026,Abuja
6,"Senior Technical Advisor, MNCH at  FHI 360",02 March-2026,Abuja
7,Health Insurance Call Centre Agents at Masslife Healthcare Limited,02 March-2026,Abuja
8,Knowledge Management Officer at  FHI 360,02 March-2026,Abuja
9,"Deputy Head of Regional Procurement SEO, Africa Procurement Hub at British High Commission",02 March-2026,Abuja
10,Medical Claims Processing Executive at Masslife Healthcare Limited,02 March-2026,Abuja
11,Head of Client Service (Health Insurance / HMO) at Masslife Healthcare Limited,02 March-2026,Abuja
12,National Communication Officer (Media and External Relations) at International Organization for Migration - IOM,02 March-2026,Abuja
13,Senior Communication Associate at International Organization for Migration - IOM,02 March-2026,Abuja
14,Media Sales Expert at Vastovers Group,02 March-2026,Abuja
15,Investment & Strategic Partnerships Executive at Digital Age Consultancy Services Limited,02 March-2026,Abuja
16,Speech Therapist at Kels Global Ventures,02 March-2026,Abuja
17,Physiotherapist at Kels Global Ventures,02 March-2026,Abuja
18,Sales Representative at Aureole Consulting Limited,02 March-2026,Abuja
19,Store Manager – Luxury Retail at Aureole Consulting Limited,02 March-2026,Abuja
20,"Officer, Shell Lubes - Abuja at Ardova Plc",02 March-2026,Abuja
21,Program Operations Lead (Senior Management Team Member) at Population Services International,02 March-2026,Abuja
22,Legal / Company Secretary at Awesome Microfinance Bank,28 February-2026,Abuja
23,Program Officer at MacArthur Foundation,28 February-2026,Abuja
24,Sales Canvasser at Vastovers Group,28 February-2026,Abuja
25,NYSC Interns at Norrenberger Financial Group,28 February-2026,Abuja
26,Senior Associate (Abuja) at Dunn & Braxton,28 February-2026,Abuja
27,Purchasing Officer at Hilton Worldwide,28 February-2026,Abuja
28,Waste to Value (Circular Economy) Manager at TechnoServe,28 February-2026,Abuja
29,Health Officer (Supply and Logistics) at UNICEF,28 February-2026,Abuja
30,Branch Manager at Proforce Limited,28 February-2026,Abuja
31,Caregiver at TippyToes KidCare,28 February-2026,Abuja
32,Telemarketer Team Lead at Firstfruit Homes Limited,28 February-2026,Abuja
33,QA Engineer at Krystal Digital Solutions Limited,27 February-2026,Abuja
34,Chief Financial Officer at ADKAN Services,27 February-2026,Abuja
35,Accountant at ADKAN Services,27 February-2026,Abuja
36,Senior Sales Executive - Abuja at Simba Group,27 February-2026,Abuja
37,Senior Sales Executive at Simba Group,27 February-2026,Abuja
38,Consultant Orthopedic Surgeon at Cedarcrest Hospitals,27 February-2026,Abuja
39,Senior Business Development Executive at Vagan Oil & Gas Limited,27 February-2026,Abuja
40,Medical Doctor at Medicaid Cancer Foundation (MCF),27 February-2026,Abuja
41,Branch Manager - Abuja at Proforce Limited,27 February-2026,Abuja
42,Account/HMO Officer at Viewpoint Hospital,27 February-2026,Abuja
43,FTTx Direct Sales Executive (DSE) at Fort Knox Group,27 February-2026,Abuja
44,Senior Lecturer (Nursing Science) at Prime University Abuja,27 February-2026,Abuja
45,Internal Auditor at Prime University Abuja,27 February-2026,Abuja
46,Technical Product Manager at Krystal Digital Solutions Limited,27 February-2026,Abuja
47,Business Development Officer at Krystal Digital Solutions Limited,27 February-2026,Abuja
